micros,counts,seconds,volts,amps
250800,1021,0.2508,0.06381250000000001,6.3812500000000005
252000,1144,0.252,0.07150000000000001,7.15
253201,1137,0.253201,0.0710625,7.10625
254400,987,0.2544,0.0616875,6.16875
255600,645,0.2556,0.0403125,4.03125
256800,237,0.2568,0.014812500000000001,1.4812500000000002
258000,-190,0.258,-0.011875,-1.1875
259201,-607,0.259201,-0.0379375,-3.7937499999999997
260400,-915,0.2604,-0.0571875,-5.71875
261600,-1121,0.2616,-0.0700625,-7.00625
262800,-1148,0.2628,-0.07175000000000001,-7.175000000000001
264000,-1078,0.264,-0.067375,-6.737500000000001
265201,-805,0.265201,-0.0503125,-5.03125
266400,-410,0.2664,-0.025625000000000002,-2.5625
267600,1,0.2676,6.25e-05,0.00625
268800,447,0.2688,0.0279375,2.79375
270000,794,0.27,0.049625,4.9625
271201,1057,0.271201,0.0660625,6.606249999999999
272400,1148,0.2724,0.07175000000000001,7.175000000000001
273600,1127,0.2736,0.0704375,7.04375
274800,943,0.2748,0.058937500000000004,5.893750000000001
276000,583,0.276,0.0364375,3.64375
277201,172,0.277201,0.010750000000000001,1.0750000000000002
278400,-264,0.2784,-0.0165,-1.6500000000000001
279600,-662,0.2796,-0.041375,-4.1375
280800,-958,0.2808,-0.059875000000000005,-5.987500000000001
282000,-1133,0.282,-0.0708125,-7.08125
283201,-1146,0.283201,-0.07162500000000001,-7.1625000000000005
284400,-1049,0.2844,-0.0655625,-6.5562499999999995
285600,-748,0.2856,-0.04675,-4.675
286800,-345,0.2868,-0.021562500000000002,-2.15625
288000,70,0.288,0.004375,0.43750000000000006
289201,511,0.289201,0.0319375,3.19375
290400,839,0.2904,0.0524375,5.2437499999999995
291600,1086,0.2916,0.067875,6.7875000000000005
292800,1148,0.2928,0.07175000000000001,7.175000000000001
294000,1112,0.294,0.0695,6.950000000000001
295200,894,0.2952,0.055875,5.5875
296400,520,0.2964,0.0325,3.25
297600,106,0.2976,0.006625,0.6625
298800,-334,0.2988,-0.020875,-2.0875
300000,-716,0.3,-0.04475,-4.475
301201,-997,0.301201,-0.0623125,-6.23125
302400,-1141,0.3024,-0.0713125,-7.13125
303600,-1141,0.3036,-0.0713125,-7.13125
304800,-1013,0.3048,-0.06331250000000001,-6.331250000000001
306000,-281,0.306,-0.0175625,-1.75625
307201,143,0.307201,0.008937500000000001,0.89375
308400,572,0.3084,0.035750000000000004,3.575
309600,886,0.3096,0.055375,5.5375
310800,1109,0.3108,0.0693125,6.93125
312000,1148,0.312,0.07175000000000001,7.175000000000001
313201,1092,0.313201,0.06825,6.825
314400,841,0.3144,0.0525625,5.25625
315600,451,0.3156,0.0281875,2.81875
316800,41,0.3168,0.0025625,0.25625000000000003
318000,-405,0.318,-0.0253125,-2.53125
319201,-764,0.319201,-0.04775,-4.775
320400,-1035,0.3204,-0.0646875,-6.468749999999999
321600,-1147,0.3216,-0.0716875,-7.16875
322800,-1135,0.3228,-0.0709375,-7.09375
